HUC,Land Use,Runoff,Effluent Volume,Volume Reduction,Untreated Volume,TSS Load,TP Load,NO3 Load,NH3 Load,PB Load,CU Load,ZN Load,BOD Load,E.COLI Load,GLYPHOSATE Load,"2,4-D Load",CARBARYL Load,OIL&GREASE Load
402,TRA,1251004.342419975,0.0,0.0,1251004.342419975,11786.8014570917,27.12280991556836,119.49005148695258,133.9056540776737,4.327233967224321,2.4991383317532563,16.50993260414495,1160.8213555161701,468744.63334947015,0.0,0.0,0.0,754.7113769186583
403,FOR,218138779.3965072,0.0,0.0,218138779.3965072,898790.1711558311,217.88852634080752,313.2147566149108,27.23606579260094,182.4816408104263,115.753279618554,680.9016448150236,63555.35952703429,13618032.89630047,0.0,0.0,0.0,39301.642938723155
403,OPS,2589859.9970109905,0.0,0.0,2589859.9970109905,8552.901290690925,28.294096897370732,64.67222147970453,119.23940835320525,0.42396230488238446,0.6790583255368976,4.024049354479454,754.5092506504465,161680.55369926133,0.0,0.0,0.0,134.73379469549096
403,TRA,384371.8751160749,0.0,0.0,384371.8751160749,3621.5021995201687,8.333500494088629,36.71339386313464,41.142596872938,1.3295453721851336,0.7678618324315742,5.072687230501087,356.6630953745679,144022.08494544713,0.0,0.0,0.0,231.88554770041983
404,FOR,135129426.61647332,0.0,0.0,135129426.61647332,556769.414465487,134.97440350678474,194.02570504100305,16.871800438348092,113.04106293693222,71.70515186297939,421.79501095870233,39370.34632288528,8435900.219174046,0.0,0.0,0.0,24346.008032536298
404,OPS,10428937.170649799,0.0,0.0,10428937.170649799,34441.116620330846,113.93564099353303,260.4243222709327,480.1573441870322,1.707225967984824,2.734455383844793,16.20418012475368,3038.283760044568,651060.8056773318,0.0,0.0,0.0,542.5506711807561
404,TRA,857140.6203703199,0.0,0.0,857140.6203703199,8075.868300800597,18.58351832116336,81.8700410435703,91.74706395119708,2.9648562210258174,1.7123145839178098,11.311978220007031,795.3506659149695,321166.0041460842,0.0,0.0,0.0,517.0995462423649
405,AGR,6895.26398154,0.0,0.0,6895.26398154,28.410333601748416,0.03529768720217227,1.0524737220647709,0.04907239440302,0.0057681586403549815,0.003658906600225175,0.02152298000132456,2.7850736121713977,576.8158640354981,0.00017734935521091435,0.00017734935521091435,4.304596000264912e-05,1.2423064056764535
405,FOR,189803446.32050997,0.0,0.0,189803446.32050997,782041.0129566777,189.58570011070975,272.52944390914524,23.69821251383872,158.77802384271942,100.71740318381455,592.455312845968,55299.77890104264,11849106.25691936,0.0,0.0,0.0,34196.52065746927
405,OPS,22919990.86742508,0.0,0.0,22919990.86742508,75692.28440875921,250.39980664523367,572.3424151891056,1055.2563280049135,3.7520221816050174,6.009595359485609,35.61241710408391,6677.328177683185,1430856.0379727639,0.0,0.0,0.0,1192.380031167018
405,TRA,2695340.5451539876,0.0,0.0,2695340.5451539876,25395.150750255376,58.43721463230048,257.44625305800884,288.5052644683413,9.323204376465497,5.384496795984497,35.57133195847259,2501.0375736593337,1009929.6802968424,0.0,0.0,0.0,1626.0568449849152
