HUC,Runoff,TSS Load,TP Load,NO3 Load,NH3 Load,PB Load,CU Load,ZN Load,BOD Load,E.COLI Load,GLYPHOSATE Load,"2,4-D Load",CARBARYL Load,OIL&GREASE Load
501,131173397.19989902,541745.4800777906,170.46763389314972,310.96942483347584,206.1041882117362,109.65781157252692,69.84828417054186,411.8365255607574,38628.92645361423,8390665.142975107,0.0,0.0,0.0,23569.868229753174
502,182188581.7304098,743731.017643811,620.485679011062,9113.425690365451,1407.4657889121968,144.06910254435223,93.98680201122143,555.2620351646955,60207.52168756003,13008682.037779842,1.4082882323704473,1.4082882323704473,0.3418175321287493,31120.828651716754
503,375423586.404974,1681701.5800090232,2401.3648154590082,29455.863539126865,6674.201540106122,350.5358137898972,227.12444109419138,1376.4769968155288,148093.09585688534,34349432.8195824,4.604238667236953,4.563271522646289,1.216497007464907,71271.05271064416
601,93963423.84641919,376292.9914315256,280.76498284728694,677.054432657476,877.2969021729888,68.58358129428942,46.125278876776555,272.4247178752074,27829.444431874304,6071306.216356989,0.0128900116714374,0.0128900116714374,0.003128643609572185,14973.16919547534
602,492469261.235893,2006008.2082102979,2483.48670247033,47957.684765461694,5730.546471157544,383.15496602093907,252.2017124251534,1492.4382143405956,180715.97167108057,38850027.19082563,7.687900209986671,7.687900209986671,1.8659951965987065,82808.66016850022
603,307148772.33243144,1390258.007712956,2740.0055013793035,27466.605658152268,8493.631790660493,290.38340793714264,193.17387142568856,1183.6579120226259,130770.23561691953,30801386.114212096,4.1758103432985765,4.132659167182283,1.144195936705934,57169.859716898856
604,396084962.594772,1929247.5858370152,3776.8201714099364,39118.70860963985,11195.027177157375,433.76638294495575,280.0070389515372,1729.1454193119905,181897.60022864226,43806633.07976437,6.176448576217542,6.085976823314074,1.7432904861388794,83118.4369099963
605,464954569.93637985,2099956.285186675,3432.053908704759,61381.00442256933,8448.638532786197,455.5330787142092,290.5210951907624,1760.4251703303712,203223.08482942867,46590461.81096322,9.985490401980233,9.941486007656868,2.5388051292330416,92183.63379462673
606,423027726.2825278,1868069.855051352,2714.1890715867585,55530.35320583051,6079.6127749185,379.9651882780347,243.38959783141183,1461.6605545823418,175390.67681452705,39264066.48002599,9.120643817600346,9.083015120710137,2.274152147149437,79445.21628911355
607,1170217601.5164976,6690083.685801377,18046.883647162325,100558.98858237355,60905.735050686046,1580.0882599750867,1032.6050519121397,6565.008542500002,640670.2238727376,167556016.48836786,14.890744892996334,14.282759616335168,5.1780062012742825,279344.5024798813
